country,highest_education,title,pay_usd
"Korea, Rep.",Master’s degree,Research Assistant,I do not wish to disclose my approximate yearly compensation
Belgium,Master’s degree,Data Analyst,"40-50,000"
Japan,Doctoral degree,Consultant,"90-100,000"
China,Master’s degree,Software Engineer,"20-30,000"
Japan,Bachelor’s degree,Student,"0-10,000"
United States,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
United States,Master’s degree,Research Scientist,"0-10,000"
Canada,Master’s degree,Other,"70-80,000"
United States,Master’s degree,Other,I do not wish to disclose my approximate yearly compensation
Singapore,Master’s degree,Manager,I do not wish to disclose my approximate yearly compensation
Singapore,Professional degree,Developer Advocate,I do not wish to disclose my approximate yearly compensation
United States,Master’s degree,Data Analyst,"100-125,000"
Singapore,Master’s degree,Data Analyst,"40-50,000"
Thailand,Master’s degree,Research Assistant,"30-40,000"
United States,Doctoral degree,Data Scientist,"300-400,000"
China,Master’s degree,Business Analyst,"10-20,000"
United States,Bachelor’s degree,Not employed,
United States,Master’s degree,Business Analyst,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Software Engineer,"30-40,000"
Brazil,Bachelor’s degree,Consultant,I do not wish to disclose my approximate yearly compensation
Brazil,Master’s degree,Student,"0-10,000"
United States,Bachelor’s degree,Product/Project Manager,"80-90,000"
Japan,Master’s degree,Data Scientist,"50-60,000"
Australia,Doctoral degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
United States,Master’s degree,Data Analyst,"80-90,000"
India,Bachelor’s degree,Student,
Mexico,Master’s degree,DBA/Database Engineer,"10-20,000"
Australia,Doctoral degree,Student,"10-20,000"
United States,Master’s degree,Other,I do not wish to disclose my approximate yearly compensation
Japan,Master’s degree,Research Scientist,I do not wish to disclose my approximate yearly compensation
Vietnam,Bachelor’s degree,Data Scientist,"10-20,000"
India,Master’s degree,Other,"30-40,000"
United States,Bachelor’s degree,Software Engineer,"90-100,000"
Colombia,Master’s degree,Manager,"10-20,000"
Singapore,Bachelor’s degree,Student,"0-10,000"
Japan,Master’s degree,Student,
India,Bachelor’s degree,Student,
United States,Master’s degree,Data Scientist,"100-125,000"
United States,Doctoral degree,Data Scientist,"150-200,000"
United States,Bachelor’s degree,Business Analyst,"20-30,000"
India,Doctoral degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
China,Bachelor’s degree,Data Analyst,"20-30,000"
Canada,Bachelor’s degree,Research Assistant,I do not wish to disclose my approximate yearly compensation
Singapore,Master’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
United States,Bachelor’s degree,Software Engineer,"150-200,000"
Brazil,Bachelor’s degree,Business Analyst,"10-20,000"
United States,Bachelor’s degree,Data Scientist,"100-125,000"
China,Master’s degree,Business Analyst,I do not wish to disclose my approximate yearly compensation
United States,Doctoral degree,Other,"100-125,000"
Australia,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Data Analyst,"20-30,000"
Portugal,Doctoral degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
Thailand,Master’s degree,Student,
United States,Bachelor’s degree,Manager,"300-400,000"
Vietnam,Master’s degree,Data Scientist,"0-10,000"
Malaysia,Doctoral degree,Research Scientist,"0-10,000"
Russian Federation,Bachelor’s degree,DBA/Database Engineer,"10-20,000"
Canada,Master’s degree,Consultant,"0-10,000"
Singapore,Bachelor’s degree,Student,"0-10,000"
Malaysia,Master’s degree,Data Analyst,"0-10,000"
Japan,Master’s degree,Research Scientist,"20-30,000"
United States,Doctoral degree,Research Scientist,"20-30,000"
Singapore,Doctoral degree,Research Scientist,"200-250,000"
Vietnam,Master’s degree,Data Scientist,"0-10,000"
China,Some college/university study without earning a bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
Indonesia,Some college/university study without earning a bachelor’s degree,Software Engineer,"0-10,000"
China,Master’s degree,Student,"60-70,000"
Indonesia,Doctoral degree,Other,"0-10,000"
"Korea, Rep.",Doctoral degree,Research Scientist,I do not wish to disclose my approximate yearly compensation
Japan,Master’s degree,Student,"0-10,000"
China,Doctoral degree,Data Scientist,"10-20,000"
China,Master’s degree,Software Engineer,"30-40,000"
Switzerland,Master’s degree,Student,"10-20,000"
Nigeria,Professional degree,Data Engineer,I do not wish to disclose my approximate yearly compensation
Australia,Bachelor’s degree,Data Scientist,"100-125,000"
United States,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
"Egypt, Arab Rep.",Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
United States,No formal education past high school,Software Engineer,"70-80,000"
United States,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Doctoral degree,Student,"0-10,000"
China,Some college/university study without earning a bachelor’s degree,Software Engineer,"80-90,000"
United States,Master’s degree,Student,"0-10,000"
Philippines,Bachelor’s degree,Data Analyst,"0-10,000"
India,Bachelor’s degree,Student,"0-10,000"
Philippines,Master’s degree,Research Scientist,"0-10,000"
United States,Master’s degree,Other,"60-70,000"
Canada,Bachelor’s degree,Manager,I do not wish to disclose my approximate yearly compensation
United States,Master’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
Mexico,Master’s degree,Other,"40-50,000"
India,Bachelor’s degree,Student,
United States,Doctoral degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
Vietnam,Some college/university study without earning a bachelor’s degree,Business Analyst,"0-10,000"
United States,Master’s degree,Data Analyst,"60-70,000"
China,Master’s degree,Student,"0-10,000"
Japan,Doctoral degree,Other,"40-50,000"
United States,Bachelor’s degree,Software Engineer,"125-150,000"
United States,Master’s degree,Data Analyst,"100-125,000"
United States,Professional degree,Other,I do not wish to disclose my approximate yearly compensation
United States,Doctoral degree,Data Scientist,"150-200,000"
Mexico,Doctoral degree,Research Scientist,"10-20,000"
China,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
Philippines,Master’s degree,Data Scientist,"20-30,000"
China,Master’s degree,Student,"0-10,000"
United States,Doctoral degree,Student,"20-30,000"
Indonesia,Master’s degree,Consultant,"0-10,000"
United States,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
United States,Bachelor’s degree,Data Analyst,"80-90,000"
Vietnam,Bachelor’s degree,Software Engineer,"20-30,000"
India,Bachelor’s degree,Student,
India,Bachelor’s degree,Other,"0-10,000"
Australia,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
Japan,Bachelor’s degree,Not employed,
Mexico,Doctoral degree,Research Scientist,I do not wish to disclose my approximate yearly compensation
Japan,Master’s degree,Student,"0-10,000"
Chile,Master’s degree,Marketing Analyst,"50-60,000"
Indonesia,Master’s degree,Other,"40-50,000"
United States,Some college/university study without earning a bachelor’s degree,Data Scientist,"150-200,000"
"Korea, Rep.",Bachelor’s degree,Data Analyst,
South Africa,Bachelor’s degree,Software Engineer,"80-90,000"
Japan,Master’s degree,Software Engineer,"40-50,000"
China,Master’s degree,Student,
United States,Bachelor’s degree,Manager,"90-100,000"
India,Doctoral degree,Data Scientist,"0-10,000"
United States,Master’s degree,Research Scientist,"125-150,000"
Singapore,Master’s degree,Software Engineer,"50-60,000"
China,Master’s degree,Not employed,
China,Bachelor’s degree,Software Engineer,"20-30,000"
Canada,Bachelor’s degree,Student,"0-10,000"
Indonesia,Master’s degree,Other,"0-10,000"
China,Doctoral degree,Student,"20-30,000"
United States,Master’s degree,Data Scientist,"125-150,000"
United States,Doctoral degree,Principal Investigator,"200-250,000"
Turkey,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
Japan,Doctoral degree,Research Scientist,"30-40,000"
Philippines,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
Canada,Doctoral degree,Research Scientist,"150-200,000"
United States,Bachelor’s degree,Product/Project Manager,"100-125,000"
United States,Bachelor’s degree,Student,"10-20,000"
Japan,Bachelor’s degree,Software Engineer,"70-80,000"
United States,Master’s degree,Data Engineer,"60-70,000"
China,Bachelor’s degree,Data Engineer,I do not wish to disclose my approximate yearly compensation
United Kingdom,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
United States,Doctoral degree,Research Scientist,"60-70,000"
Israel,Master’s degree,Student,"0-10,000"
China,Bachelor’s degree,Product/Project Manager,"20-30,000"
Brazil,Master’s degree,Student,"0-10,000"
Malaysia,Master’s degree,Research Scientist,"0-10,000"
Nigeria,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
Colombia,Master’s degree,Data Scientist,"0-10,000"
China,Some college/university study without earning a bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
Indonesia,No formal education past high school,Software Engineer,"0-10,000"
India,Bachelor’s degree,Student,
Australia,Master’s degree,Product/Project Manager,"30-40,000"
China,Master’s degree,Software Engineer,"40-50,000"
India,Bachelor’s degree,Data Analyst,"10-20,000"
United States,Master’s degree,Business Analyst,"60-70,000"
Singapore,Bachelor’s degree,Manager,"40-50,000"
China,Bachelor’s degree,Software Engineer,"40-50,000"
India,Doctoral degree,Manager,I do not wish to disclose my approximate yearly compensation
Australia,Master’s degree,Other,"125-150,000"
Indonesia,Master’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Other,
Indonesia,Bachelor’s degree,Student,"0-10,000"
Germany,Master’s degree,Software Engineer,"40-50,000"
India,Bachelor’s degree,Other,"0-10,000"
Singapore,Master’s degree,Data Scientist,"50-60,000"
India,Master’s degree,Student,
India,Doctoral degree,Student,I do not wish to disclose my approximate yearly compensation
United States,Doctoral degree,Data Scientist,"125-150,000"
Finland,Doctoral degree,Chief Officer,"30-40,000"
United States,Master’s degree,Business Analyst,"40-50,000"
China,Master’s degree,Chief Officer,"100-125,000"
United States,Master’s degree,Data Scientist,"100-125,000"
United States,Master’s degree,Student,"70-80,000"
Mexico,Doctoral degree,Research Scientist,"50-60,000"
Poland,Doctoral degree,Research Scientist,"10-20,000"
Colombia,Master’s degree,Research Assistant,I do not wish to disclose my approximate yearly compensation
United States,Doctoral degree,Statistician,"70-80,000"
United Kingdom,Bachelor’s degree,Other,I do not wish to disclose my approximate yearly compensation
United States,Master’s degree,Business Analyst,"125-150,000"
Japan,Master’s degree,Consultant,I do not wish to disclose my approximate yearly compensation
United States,Master’s degree,Data Scientist,"150-200,000"
Peru,Master’s degree,Manager,"60-70,000"
Mexico,Bachelor’s degree,Data Analyst,"10-20,000"
"Korea, Rep.",Master’s degree,Software Engineer,"0-10,000"
Russian Federation,Master’s degree,Other,"50-60,000"
United States,Bachelor’s degree,Product/Project Manager,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Student,"10-20,000"
United States,Master’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
Chile,Professional degree,Consultant,I do not wish to disclose my approximate yearly compensation
United Kingdom,Some college/university study without earning a bachelor’s degree,Not employed,
Argentina,Bachelor’s degree,Research Assistant,"0-10,000"
Singapore,Bachelor’s degree,Manager,"125-150,000"
India,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Professional degree,Other,"10-20,000"
United States,Master’s degree,Data Scientist,"80-90,000"
Brazil,Some college/university study without earning a bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
Canada,Master’s degree,Product/Project Manager,"80-90,000"
Colombia,Professional degree,Student,I do not wish to disclose my approximate yearly compensation
Canada,Bachelor’s degree,Business Analyst,"60-70,000"
Pakistan,Bachelor’s degree,Other,I do not wish to disclose my approximate yearly compensation
United States,Bachelor’s degree,Consultant,"30-40,000"
United States,Master’s degree,Software Engineer,"20-30,000"
China,Bachelor’s degree,Data Analyst,"0-10,000"
Singapore,Doctoral degree,Student,"10-20,000"
Pakistan,Bachelor’s degree,Student,
Czech Republic,Doctoral degree,Consultant,"40-50,000"
India,Bachelor’s degree,Software Engineer,"10-20,000"
Singapore,Master’s degree,Data Scientist,"70-80,000"
Malaysia,Master’s degree,Student,"0-10,000"
Switzerland,Master’s degree,Software Engineer,"100-125,000"
Philippines,Master’s degree,Research Scientist,I do not wish to disclose my approximate yearly compensation
Peru,Bachelor’s degree,Business Analyst,"0-10,000"
China,Master’s degree,Student,"0-10,000"
Pakistan,Doctoral degree,Research Assistant,I do not wish to disclose my approximate yearly compensation
Philippines,No formal education past high school,Data Analyst,"0-10,000"
Australia,Bachelor’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
United States,Doctoral degree,Research Assistant,"30-40,000"
India,Bachelor’s degree,Software Engineer,"0-10,000"
India,Bachelor’s degree,Consultant,"30-40,000"
Japan,Bachelor’s degree,Software Engineer,"60-70,000"
South Africa,Some college/university study without earning a bachelor’s degree,Data Scientist,"60-70,000"
Russian Federation,Professional degree,Data Analyst,"10-20,000"
India,Doctoral degree,Research Scientist,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Data Analyst,"400-500,000"
United States,Bachelor’s degree,Data Scientist,"150-200,000"
Japan,Master’s degree,Student,"10-20,000"
Russian Federation,Master’s degree,Data Analyst,"0-10,000"
United States,Bachelor’s degree,Consultant,"100-125,000"
United States,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
Bangladesh,Bachelor’s degree,Student,"0-10,000"
Mexico,Some college/university study without earning a bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
Vietnam,Master’s degree,Chief Officer,"20-30,000"
"Korea, Rep.",Bachelor’s degree,Consultant,"60-70,000"
Japan,Bachelor’s degree,Student,"0-10,000"
Netherlands,Bachelor’s degree,Data Analyst,"70-80,000"
India,Bachelor’s degree,Data Scientist,"0-10,000"
China,Some college/university study without earning a bachelor’s degree,Student,"0-10,000"
Argentina,Doctoral degree,Data Analyst,"10-20,000"
Turkey,Master’s degree,Research Assistant,"0-10,000"
Spain,Master’s degree,Data Analyst,"40-50,000"
South Africa,Bachelor’s degree,Data Scientist,"30-40,000"
India,Master’s degree,Student,"0-10,000"
Germany,Doctoral degree,Consultant,"60-70,000"
India,Master’s degree,Not employed,
United States,Doctoral degree,Manager,"125-150,000"
China,Doctoral degree,Research Assistant,"0-10,000"
"Korea, Rep.",Bachelor’s degree,Not employed,
Germany,Doctoral degree,Consultant,"70-80,000"
India,Professional degree,Data Analyst,"0-10,000"
India,Doctoral degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
Spain,Doctoral degree,Student,"0-10,000"
United States,Master’s degree,Data Scientist,"125-150,000"
India,Bachelor’s degree,Student,"0-10,000"
United States,Some college/university study without earning a bachelor’s degree,Student,"0-10,000"
United States,Master’s degree,Data Scientist,"125-150,000"
Philippines,Master’s degree,Research Assistant,"50-60,000"
Pakistan,Master’s degree,Product/Project Manager,"10-20,000"
Malaysia,Bachelor’s degree,Consultant,"40-50,000"
Japan,Master’s degree,Data Scientist,"30-40,000"
Japan,Master’s degree,Data Scientist,"50-60,000"
United Kingdom,Master’s degree,Data Scientist,"90-100,000"
India,Bachelor’s degree,DBA/Database Engineer,
Pakistan,Master’s degree,Product/Project Manager,"20-30,000"
Canada,Bachelor’s degree,Software Engineer,"100-125,000"
India,Master’s degree,Student,"0-10,000"
India,Master’s degree,Manager,
India,Bachelor’s degree,Student,
Italy,Master’s degree,Manager,"60-70,000"
India,Doctoral degree,Consultant,"0-10,000"
Finland,Master’s degree,Software Engineer,"30-40,000"
Sweden,Master’s degree,Data Scientist,"80-90,000"
Vietnam,Bachelor’s degree,Software Engineer,"10-20,000"
Philippines,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
United States,Bachelor’s degree,Data Scientist,"70-80,000"
India,Doctoral degree,Research Scientist,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Data Engineer,"20-30,000"
China,Doctoral degree,Research Scientist,I do not wish to disclose my approximate yearly compensation
Australia,Bachelor’s degree,Data Scientist,"125-150,000"
United States,Master’s degree,Student,
Finland,Master’s degree,Statistician,"40-50,000"
Japan,Bachelor’s degree,Manager,"100-125,000"
Switzerland,Bachelor’s degree,Student,"0-10,000"
Germany,Some college/university study without earning a bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
"Hong Kong SAR, China",Master’s degree,Business Analyst,"50-60,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
Poland,Master’s degree,Manager,"70-80,000"
France,Master’s degree,Manager,"90-100,000"
India,Master’s degree,Product/Project Manager,"80-90,000"
India,Master’s degree,Other,I do not wish to disclose my approximate yearly compensation
Hungary,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
Russian Federation,Master’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
Japan,Doctoral degree,Other,"40-50,000"
Japan,Master’s degree,Data Analyst,"30-40,000"
India,Master’s degree,Not employed,
Poland,Bachelor’s degree,Software Engineer,"20-30,000"
"Korea, Rep.",Master’s degree,Software Engineer,"10-20,000"
Germany,Bachelor’s degree,Business Analyst,"10-20,000"
Brazil,Bachelor’s degree,Product/Project Manager,I do not wish to disclose my approximate yearly compensation
Kenya,Bachelor’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
Nigeria,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
China,Bachelor’s degree,Data Scientist,"100-125,000"
"Korea, Rep.",Bachelor’s degree,Data Analyst,"40-50,000"
Russian Federation,Bachelor’s degree,Data Analyst,"0-10,000"
United States,Bachelor’s degree,Software Engineer,"100-125,000"
United States,Master’s degree,Data Analyst,"50-60,000"
China,Some college/university study without earning a bachelor’s degree,Student,"0-10,000"
Japan,Master’s degree,Student,"0-10,000"
Russian Federation,Bachelor’s degree,Not employed,
Japan,Doctoral degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
United States,Doctoral degree,Data Scientist,"90-100,000"
Japan,Doctoral degree,Research Scientist,"30-40,000"
Russian Federation,Bachelor’s degree,Not employed,
India,Bachelor’s degree,Consultant,"10-20,000"
Israel,Master’s degree,Software Engineer,"125-150,000"
Japan,Doctoral degree,Student,"10-20,000"
Russian Federation,Master’s degree,Student,"0-10,000"
Pakistan,Master’s degree,Other,I do not wish to disclose my approximate yearly compensation
Denmark,Doctoral degree,Student,"40-50,000"
South Africa,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
United Kingdom,Bachelor’s degree,Software Engineer,"125-150,000"
Sweden,Master’s degree,Product/Project Manager,"50-60,000"
India,Master’s degree,Chief Officer,"100-125,000"
Nigeria,Master’s degree,Data Analyst,"0-10,000"
France,Master’s degree,Business Analyst,"40-50,000"
Germany,Master’s degree,Software Engineer,"50-60,000"
Thailand,Master’s degree,Data Scientist,"125-150,000"
India,Master’s degree,Software Engineer,"10-20,000"
United States,Master’s degree,Data Analyst,"30-40,000"
Singapore,Bachelor’s degree,Student,"10-20,000"
United Kingdom,Master’s degree,Statistician,
Sweden,Doctoral degree,Data Analyst,"70-80,000"
Germany,Master’s degree,Data Scientist,"40-50,000"
India,Master’s degree,Student,"20-30,000"
Italy,Doctoral degree,Statistician,"125-150,000"
Germany,Master’s degree,Student,"0-10,000"
Germany,Bachelor’s degree,Data Analyst,"40-50,000"
United States,Master’s degree,Software Engineer,"100-125,000"
India,Master’s degree,Consultant,"60-70,000"
India,Bachelor’s degree,Business Analyst,"20-30,000"
Germany,Master’s degree,Data Scientist,"50-60,000"
United States,Master’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
Switzerland,Doctoral degree,Manager,"100-125,000"
United States,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Product/Project Manager,"10-20,000"
India,Master’s degree,Product/Project Manager,"60-70,000"
Spain,Doctoral degree,Data Scientist,"40-50,000"
Czech Republic,Some college/university study without earning a bachelor’s degree,Other,"20-30,000"
Denmark,Bachelor’s degree,Data Scientist,"10-20,000"
India,Master’s degree,Student,
South Africa,Bachelor’s degree,Data Scientist,"50-60,000"
Kenya,Bachelor’s degree,Research Assistant,"10-20,000"
Spain,Master’s degree,Software Engineer,"40-50,000"
China,I prefer not to answer,Student,I do not wish to disclose my approximate yearly compensation
Turkey,Master’s degree,Data Analyst,"10-20,000"
India,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Student,"0-10,000"
United Kingdom,Master’s degree,Data Analyst,"30-40,000"
Russian Federation,Master’s degree,Data Scientist,"30-40,000"
China,Master’s degree,DBA/Database Engineer,"40-50,000"
France,Master’s degree,Data Scientist,"40-50,000"
Kenya,Some college/university study without earning a bachelor’s degree,Not employed,
South Africa,Doctoral degree,Research Scientist,"0-10,000"
India,Bachelor’s degree,Data Scientist,"0-10,000"
United States,Bachelor’s degree,Software Engineer,"80-90,000"
Netherlands,Bachelor’s degree,Software Engineer,"80-90,000"
India,Master’s degree,Data Analyst,"0-10,000"
Netherlands,Master’s degree,Data Scientist,"40-50,000"
Australia,Master’s degree,Data Scientist,"50-60,000"
Nigeria,Bachelor’s degree,Product/Project Manager,"20-30,000"
Netherlands,Doctoral degree,Consultant,I do not wish to disclose my approximate yearly compensation
Russian Federation,Master’s degree,DBA/Database Engineer,"20-30,000"
Sweden,Doctoral degree,Data Scientist,"70-80,000"
India,Bachelor’s degree,Not employed,
Nigeria,Some college/university study without earning a bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
Russian Federation,Master’s degree,Business Analyst,"20-30,000"
Russian Federation,Master’s degree,Software Engineer,"150-200,000"
Russian Federation,Bachelor’s degree,Business Analyst,I do not wish to disclose my approximate yearly compensation
Spain,Master’s degree,Product/Project Manager,"70-80,000"
Turkey,Master’s degree,Other,"30-40,000"
Nigeria,Bachelor’s degree,Not employed,
United Kingdom,Master’s degree,Other,"40-50,000"
China,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
Turkey,Master’s degree,Not employed,
United Kingdom,Master’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
United Kingdom,Bachelor’s degree,Product/Project Manager,I do not wish to disclose my approximate yearly compensation
Belgium,Master’s degree,DBA/Database Engineer,"70-80,000"
Italy,No formal education past high school,Software Engineer,I do not wish to disclose my approximate yearly compensation
France,Doctoral degree,Data Analyst,"50-60,000"
Pakistan,Master’s degree,Software Engineer,"10-20,000"
India,Master’s degree,Software Engineer,"0-10,000"
Norway,Some college/university study without earning a bachelor’s degree,Software Engineer,"80-90,000"
United States,Master’s degree,Data Engineer,"200-250,000"
India,Master’s degree,Not employed,
France,Master’s degree,Data Scientist,"60-70,000"
India,Master’s degree,Manager,"30-40,000"
Russian Federation,Master’s degree,Software Engineer,"20-30,000"
Nigeria,Bachelor’s degree,Data Scientist,"60-70,000"
Russian Federation,Master’s degree,Data Analyst,"10-20,000"
Sweden,Master’s degree,Software Engineer,"150-200,000"
Italy,Master’s degree,Data Engineer,"30-40,000"
China,Master’s degree,Data Scientist,"10-20,000"
Spain,Master’s degree,Research Scientist,"20-30,000"
China,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
Russian Federation,Bachelor’s degree,Student,"0-10,000"
Ukraine,Master’s degree,Marketing Analyst,"0-10,000"
Australia,Doctoral degree,Research Scientist,I do not wish to disclose my approximate yearly compensation
Pakistan,Master’s degree,Research Scientist,"0-10,000"
Italy,Master’s degree,Other,"30-40,000"
United Kingdom,Master’s degree,Not employed,
South Africa,Master’s degree,Data Scientist,"50-60,000"
France,Doctoral degree,Statistician,"60-70,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
Italy,Master’s degree,Data Scientist,"100-125,000"
France,Master’s degree,Data Scientist,"40-50,000"
Sweden,Doctoral degree,Research Scientist,"40-50,000"
Turkey,Bachelor’s degree,Data Engineer,"20-30,000"
Romania,Master’s degree,Not employed,
China,Master’s degree,Data Engineer,"50-60,000"
United States,Some college/university study without earning a bachelor’s degree,Student,"10-20,000"
Bangladesh,Bachelor’s degree,Student,
Russian Federation,Bachelor’s degree,Data Scientist,"0-10,000"
Portugal,Master’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
Belgium,Professional degree,Data Scientist,"30-40,000"
Germany,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
Turkey,Doctoral degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
Spain,Some college/university study without earning a bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
Greece,Master’s degree,Statistician,"10-20,000"
Germany,Master’s degree,Student,"0-10,000"
Malaysia,Doctoral degree,Data Scientist,"40-50,000"
Netherlands,Bachelor’s degree,Manager,"90-100,000"
Germany,Bachelor’s degree,Other,"40-50,000"
Singapore,Master’s degree,Product/Project Manager,"125-150,000"
Malaysia,Bachelor’s degree,Data Analyst,"0-10,000"
Indonesia,Master’s degree,Data Analyst,"0-10,000"
Italy,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
United States,Bachelor’s degree,Software Engineer,"250-300,000"
Philippines,Bachelor’s degree,Data Analyst,"0-10,000"
Hungary,Bachelor’s degree,Not employed,
Germany,Bachelor’s degree,Consultant,"125-150,000"
Spain,Some college/university study without earning a bachelor’s degree,Software Engineer,"40-50,000"
China,Master’s degree,Research Assistant,"0-10,000"
France,Master’s degree,Data Scientist,"40-50,000"
Norway,Master’s degree,Consultant,"60-70,000"
China,Doctoral degree,Data Scientist,"500,000+"
Germany,Master’s degree,Research Assistant,"30-40,000"
Sweden,Master’s degree,Software Engineer,"50-60,000"
Finland,Some college/university study without earning a bachelor’s degree,Data Scientist,"50-60,000"
Italy,Doctoral degree,Student,"30-40,000"
Denmark,Master’s degree,Data Analyst,"60-70,000"
Nigeria,Master’s degree,Research Assistant,"0-10,000"
Romania,Master’s degree,Software Engineer,"40-50,000"
Poland,Doctoral degree,Data Scientist,"30-40,000"
India,Doctoral degree,Other,"150-200,000"
Italy,Bachelor’s degree,Software Engineer,"30-40,000"
China,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
France,Master’s degree,Statistician,"70-80,000"
Belarus,Doctoral degree,Research Scientist,"30-40,000"
Japan,Doctoral degree,Research Scientist,I do not wish to disclose my approximate yearly compensation
United States,Bachelor’s degree,Student,"0-10,000"
Spain,Bachelor’s degree,Software Engineer,"20-30,000"
India,Master’s degree,Student,"0-10,000"
Poland,Doctoral degree,Research Assistant,I do not wish to disclose my approximate yearly compensation
Belgium,Master’s degree,Data Engineer,"40-50,000"
India,Master’s degree,Student,"0-10,000"
Spain,Master’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
Indonesia,Bachelor’s degree,Other,"50-60,000"
France,Master’s degree,Data Scientist,"60-70,000"
Italy,Bachelor’s degree,Statistician,I do not wish to disclose my approximate yearly compensation
Germany,Doctoral degree,Research Scientist,"40-50,000"
Spain,Master’s degree,Data Scientist,
Italy,Professional degree,Software Engineer,"20-30,000"
France,Master’s degree,Data Scientist,"30-40,000"
Spain,Master’s degree,Data Scientist,"10-20,000"
France,Doctoral degree,Chief Officer,"50-60,000"
Turkey,Master’s degree,Data Scientist,"0-10,000"
Japan,Master’s degree,Consultant,"100-125,000"
Norway,Master’s degree,Data Scientist,"40-50,000"
Germany,Master’s degree,Student,"10-20,000"
Germany,Master’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
France,Doctoral degree,Student,"10-20,000"
Russian Federation,Bachelor’s degree,Manager,"30-40,000"
Ukraine,Doctoral degree,Research Scientist,"0-10,000"
"Egypt, Arab Rep.",Bachelor’s degree,Consultant,I do not wish to disclose my approximate yearly compensation
Singapore,Bachelor’s degree,Other,"40-50,000"
China,Master’s degree,Student,"0-10,000"
France,Master’s degree,Software Engineer,"20-30,000"
Philippines,Master’s degree,Marketing Analyst,I do not wish to disclose my approximate yearly compensation
Netherlands,Master’s degree,Business Analyst,
France,Master’s degree,Data Scientist,"50-60,000"
